,Text,Emotion
24365, oh! so this could well be your last post!,surprise
24366, yessssss wore myself out this weekend planting my garden and working,love
24367,Feeling much better  Doing History Research.,surprise
24368,i loooooove bank holidays,love
24369, Pleaseee Give Me A Shoutout  Love Georgia (UK),love
24370," the new series of the hills was on yesterday in uk , it was amazing! you looked really pretty on your birthday too.",surprise
24371,&quot;Brides a la mode&quot; pow wow first thing this morning   This past weekend's lovely wedding fresh in my mind... pics soon!,love
24372, one day I hope to retire to one of his floating islands,love
24373," You're one very talented singer, dancer and actress. Love your songs. I look forward to your next album. Cheers from the East!",love
24374," What you said about aj made no sense,hahaha. What were you talking about? And I loved that picture of you and colin!",surprise
24375,I've just bought 2 tickets to see the latest show of Gad Elmaleh. I'm so so happyyyy  ,surprise
24376, Good morning  It's raining here.,love
24377, You're such a sappy little fellow!  Thanks for all the well wishes. I'll need them. After today I have one more exam.,love
24378,Loves the Mr. oh so much these days!!,love
24379,damn... long shift tonight... I really should sleep but I'm not tired. Had a nice talk with Jon after work  Gotta love that boy!,love
24380, yeah Tila is a little cutie and a little nutty but then so am i and my sweetheart she thinks she cute too,love
24381, hahaha my boyfriend! yeah he looked so different there... but he's so cute... i so want to watch the movie...,love
24382,have i ever mentioned i love ellen? a lot,love
24383,Awesome and exciting  ,love
24384,"hey life, i love you!   (translation: i love life!)",love
24385,Off to school. Who knows what to expect? Bring on life and all of it's suprises!,surprise
24386,One good deed deserves another. I hope to help someone else some day,love
24387,Happy May Bank Holiday British Peeps,love
24388, ahh i love u! u got a twitterrr,love
24389, Awwwww!!!! And the gorgeous photo from California!!! You two make me melt!!!,love
24390,I wov you,love
24391,Gotta TeraByte  of space to store movies,surprise
24392,ur wlcm &amp; the pleasure is all mine.   {Jackie},love
24393,To all my beautiful followers  check me out on YouTube maybe? Www.YouTube.com/user/theboomtube thnx loads,love
24394,That mango shake made ALL the difference.  - ,surprise
24395," new album is truly genius, so happy with it",love
24396,"Spiderwoman! She's an amazing mum, gr8 blogger, gr8 mentor &amp; on top of that climbs walls!   -via ",surprise
24397, Keeping Doing Your thing. Your inspiration for all black women!! Sending positive energy your way!,love
24398,I kinda forgot how much I love the darkness,love
24399, lol! I don't know! but you dont need the plant! I'll give you a hug instead! Hugs!,love
24400,"Happy &quot;Star Wars&quot; Day, Twitters.   :*",love
24401, thought u said twitter was crap bellion?,surprise
24402,  - Beautiful landscape! It seems very quiet,love
24403,Had an awesome weekend and an awesome turn out to my rummage sales on friday and saturday!!,love
24404,Had the best wknd with her man and levi and sara love u guys,love
24405, well... how ya gettin on lol love frm ireland,love
24406,On route home! Parents 35th wedding anniversary 2day.. Gona take em 4 dinner  let's c if I find a woman I can be 2getha with 4 that long,love
24407,trying to work out how to use Twitter!,surprise
24408, Rocket surgery hey? HAHA I thought it was rocket SCIENCE? Oh.. is that all.. I knew that I swear. Thank you,surprise
24409, Yes..Come through... Tell a friend to tell a friend to tell a friend,surprise
24410,i hate school but i love chiodos,love
24411,_Gamefan Thanks  I love &quot;Misery Business&quot;; Paramore is such a great band!,love
24412,happy birthday to ,love
24413, LOL! Thanks for showing me 's site. I won't tell hubby if you won't.,love
24414,Monday and I am at work and the legs are a still hurting a little! Smile,love
24415, HaPPy B-DAY Ma Freaaaaaaak  &lt;3,love
24416, Yep still a few seats left for PRACC workshop w/  &amp;    see you there,surprise
24417,Reminising on such a wonderful day yesterday with my family and my love.  Nothing like shooting some basketball with the men in my life,love
24418,my pic is back..  out of the blue..,surprise
24419,"might be seeing my god mothers little boy in a bit  . Leon, so cute &lt;3333",love
24420,"_shantz heyy shantell!  twitter is cool, thats why! and guess what!! i followed britney spears, and she followed me back!",love
24421, it IS a universal treat!!,surprise
24422, That is INCREDIBLY sweet!!!! What a good Hubby...,love
24423,"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",surprise
24424,Chilling with my baybee sarah!  i love this girl,love
24425," Welcome back, and thanks for the pictures. You made my morning 100% better",love
24426, I was thinking the swine markets are in decline. But since we can't say that anymore...,surprise
24427," Yes, dahling... you are definitely one awesome tweep.   I'm sending love and kindness across the ocean to you!",love
24428, love it!,love
24429,Good Morning Twitter Peeps    What is on your agenda today??,love
24430, i (L u so much  See u at school todaay!,love
24431, someone's a sweet tooth  i was dying for somethin sweet so i've attacked the chock coated tiny teddies all i could find lol,love
24432,_ho i like the sound of that,love
24434, how fun to see what people on the other side of the pond are getting up to right now... thanks so much for sharing!,love
24435,Thanks for the follow my new Twitpeeps!,surprise
24436,"Do you click on the link after the post &quot;I can't believe how much sex I'm getting?&quot;....I mean, come on!",surprise
24437," wow, that's cool  bytheway, i love your new TV show",love
24438, surprisingly i am actually not super tired... would like to just lay in bed for a while though,surprise
24439, That's love.,love
24440," That pic of Donnie is the one SiouxSinner took last night at the Launch. Word has it, he's got a solo album comin' out too.",love
24441,Goingto the airport soon and then going to meet my wedding photographer!! Can't wait,surprise
24442," ohh yeh , but he was on sexy men so its okay",surprise
24443,just woke up and feeling real good cause of krispy kreme. I WANT ME SOME DOUGHNUTS,love
24444, THANKS,love
24445,almost time to take the kids to school,love
24446,Me and my son just got up.  He sure does love the morning time.  I KNOW he did not get that from me.,love
24447,I'd love too see you were it ,love
24448, Thanks twilight... i know we love canon,love
24449,Did you know you can shop for AVON online... Its true.. Check out my site:    Thanks,surprise
24450,Mother's Day is THIS Sunday.... don't forget to send her something special  ,love
24451,Today is a blessed day,love
24452, ah helping my friend move and will defo be having a well deserved pint after it that's for sure,love
24453," let me guess ... ran a few miles?  Respect dude, I can't do it.  Maybe you should train me",surprise
24454, I know  haha night,love
24455,  Cheeeessseee! We were in Ireland when the latest W&amp;G aired. In-laws had to put up with my blocking the telly on Christmas Day.,surprise
24456,  16 too   crazy about miley and JB and in love with Nick Jonas haha,love
24457,_west one day the hubs and I WILL take one of those. There's actually a missions cruise that we want to go on. It has music too.,love
24458,Thinks FML should changed to LML (love my life),love
24459,"Already up and in the clouds, cod4 and French toast, best day of my life",love
24460,Undervote is just going on  I'm all overalled up,love
24461, for my homepage,love
24462, dohh! is it old? I had never heard it.. I'm so last year..,surprise
24463,Good Morning Tweeties,love
24464, i DO THAT ALL THE TIME.. NO BIGGIE,surprise
24465," thanks lovely, will let you know when its up and ready! The baby havs are gorgeous, I want something to put in them  x",love
24466, the idiom?? doesn't ring a bell eh? hahaha. y'are really thinking of food?! nope. actually in the bathroom. teehee,surprise
24467, you're the absoute best,love
24468,This is a much better tool than some I have come across  - Twitter Karma on Steroids,love
24469,is going to see wolverine and is a lil bit excited,love
24470,its castiel!!!!  [ the angle ],surprise
24471, happy to help,surprise
24472, Nice one! Hope others appreciate it,love
24473, what are you doing here? I thought you were back at work today!,surprise
24474, i LOVE lion knig ....it was my fav movie when i was a kid...i love it till now,love
24475," not to sound preachery or anything, but my iphone is amazing.  haven't had an issue since the 2.0 firmware   {wink wink}",love
24476,says numbers are all good - all that's left is the white blood cell count.  ,surprise
24477, how poetic.. great going.. keep them coming,surprise
24478,Joan is such a legend! I can't wait for apprentice finale!!! im so addicted i think i need a rehab!! LOL tweet later..  xoxo,love
24479,"  lol, sunny and 18 yesterday, Igloo melted, attacked by bushes, recovering today.  How's things in Chocolateland?",surprise
